name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
NAROWAL,NAROWAL,DISTRICT,Communication,21755,12299,9456,17971,10118,7853,3784,2181,1603
NAROWAL,NAROWAL,DISTRICT,Memorization/ Focus,29138,15992,13146,23827,13032,10795,5311,2960,2351
NAROWAL,NAROWAL,DISTRICT,Self care etc,21119,11401,9718,16737,8942,7795,4382,2459,1923
OKARA,OKARA,DISTRICT,Population,3503451,1784301,1719150,2327975,1187345,1140630,1175476,596956,578520
OKARA,OKARA,DISTRICT,Disability,87309,51020,36289,60812,35617,25195,26497,15403,11094
OKARA,OKARA,DISTRICT,Functional limitation,335509,185991,149518,224391,124648,99743,111118,61343,49775
OKARA,OKARA,DISTRICT,Seeing,63473,34993,28480,42552,23449,19103,20921,11544,9377
OKARA,OKARA,DISTRICT,Hearing,72081,39725,32356,48009,26493,21516,24072,13232,10840
OKARA,OKARA,DISTRICT,Walking/ Climbing,106065,59396,46669,71039,39712,31327,35026,19684,15342
OKARA,OKARA,DISTRICT,Communication,36554,20934,15620,24189,14141,10048,12365,6793,5572
OKARA,OKARA,DISTRICT,Memorization/ Focus,51192,28426,22766,34210,19056,15154,16982,9370,7612
OKARA,OKARA,DISTRICT,Self care etc,36469,20157,16312,24454,13525,10929,12015,6632,5383
PAKPATTAN,PAKPATTAN,DISTRICT,Population,2135511,1085160,1050351,1662991,845620,817371,472520,239540,232980
PAKPATTAN,PAKPATTAN,DISTRICT,Disability,67500,38042,29458,51068,28790,22278,16432,9252,7180
PAKPATTAN,PAKPATTAN,DISTRICT,Functional limitation,235050,128902,106148,181929,99852,82077,53121,29050,24071
