name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
KHADO KHEL,TEHSIL,BUNER,OVERALL,343,136560,68346,68213,1,100.19,398.13,,7.6,118072,2.46
KHADO KHEL,TEHSIL,BUNER,RURAL,,136560,68346,68213,1,100.19,,,7.6,118072,2.46
KHADO KHEL,TEHSIL,BUNER,URBAN,,,,,,,,,,,
MANDANR,TEHSIL,BUNER,OVERALL,325,185031,93890,91141,,103.02,569.33,,7.6,152608,3.27
MANDANR,TEHSIL,BUNER,RURAL,,185031,93890,91141,,103.02,,,7.6,152608,3.27
MANDANR,TEHSIL,BUNER,URBAN,,,,,,,,,,,
CHARSADDA,DISTRICT,CHARSADDA,OVERALL,996,1835504,950872,884613,19,107.49,1842.88,15.93,6.9,1610960,2.2
CHARSADDA,DISTRICT,CHARSADDA,RURAL,,1543078,799098,743964,16,107.41,,,7,1340756,2.38
CHARSADDA,DISTRICT,CHARSADDA,URBAN,,292426,151774,140649,3,107.91,,,6.5,270204,1.33
CHARSADDA,TEHSIL,CHARSADDA,OVERALL,445,909438,473703,435727,8,108.72,2043.68,16.98,7,809660,1.96
CHARSADDA,TEHSIL,CHARSADDA,RURAL,,755011,393860,361145,6,109.06,,,7,663859,2.17
CHARSADDA,TEHSIL,CHARSADDA,URBAN,,154427,79843,74582,2,107.05,,,6.7,145801,.97
SHABQADAR,TEHSIL,CHARSADDA,OVERALL,204,440524,226683,213834,7,106.01,2159.43,23.23,6.9,379952,2.5
SHABQADAR,TEHSIL,CHARSADDA,RURAL,,338184,173083,165095,6,104.84,,,7,288462,2.69
SHABQADAR,TEHSIL,CHARSADDA,URBAN,,102340,53600,48739,1,109.97,,,6.7,91490,1.89
TANGI,TEHSIL,CHARSADDA,OVERALL,347,485542,250486,235052,4,106.57,1399.26,7.34,6.8,421348,2.4
TANGI,TEHSIL,CHARSADDA,RURAL,,449883,232155,217724,4,106.63,,,6.9,388435,2.48
TANGI,TEHSIL,CHARSADDA,URBAN,,35659,18331,17328,,105.79,,,5.5,32913,1.35
DERA ISMAIL KHAN,DISTRICT,DERA ISMAIL KHAN,OVERALL,9334,1829811,959405,870255,151,110.24,196.04,20.48,6.7,1693594,1.3
DERA ISMAIL KHAN,DISTRICT,DERA ISMAIL KHAN,RURAL,,1455054,762341,692700,13,110.05,,,6.9,1333376,1.47
DERA ISMAIL KHAN,DISTRICT,DERA ISMAIL KHAN,URBAN,,374757,197064,177555,138,110.99,,,6.2,360218,.66
DARABAN,TEHSIL,DERA ISMAIL KHAN,OVERALL,1540,149447,79171,70275,1,112.66,97.04000000000001,,7.7,124318,3.12
DARABAN,TEHSIL,DERA ISMAIL KHAN,RURAL,,149447,79171,70275,1,112.66,,,7.7,124318,3.12
DARABAN,TEHSIL,DERA ISMAIL KHAN,URBAN,,,,,,,,,,,
DERA ISMAIL KHAN,TEHSIL,DERA ISMAIL KHAN,OVERALL,1167,767979,404269,363571,139,111.19,658.08,28.72,6.5,730678,.84
DERA ISMAIL KHAN,TEHSIL,DERA ISMAIL KHAN,RURAL,,547404,287918,259481,5,110.96,,,6.7,512660,1.1
DERA ISMAIL KHAN,TEHSIL,DERA ISMAIL KHAN,URBAN,,220575,116351,104090,134,111.78,,,6.1,218018,.2
DRAZANDA,SUB-DIVISION,DERA ISMAIL KHAN,OVERALL,2008,82386,43675,38711,,112.82,41.03,,8.4,68506,3.13
DRAZANDA,SUB-DIVISION,DERA ISMAIL KHAN,RURAL,,82386,43675,38711,,112.82,,,8.4,68506,3.13
DRAZANDA,SUB-DIVISION,DERA ISMAIL KHAN,URBAN,,,,,,,,,,,
KULACHI,TEHSIL,DERA ISMAIL KHAN,OVERALL,1229,102595,54240,48353,2,112.18,83.48,23.86,6.3,101892,.11
KULACHI,TEHSIL,DERA ISMAIL KHAN,RURAL,,78114,41237,36875,2,111.83,,,6.4,77139,.21
KULACHI,TEHSIL,DERA ISMAIL KHAN,URBAN,,24481,13003,11478,,113.29,,,6,24753,-.18
PAHARPUR,TEHSIL,DERA ISMAIL KHAN,OVERALL,1657,406467,209833,196626,8,106.72,245.3,21.58,6.8,362606,1.93
PAHARPUR,TEHSIL,DERA ISMAIL KHAN,RURAL,,318771,164049,154717,5,106.03,,,6.9,285040,1.89
PAHARPUR,TEHSIL,DERA ISMAIL KHAN,URBAN,,87696,45784,41909,3,109.25,,,6.5,77566,2.07
PAROA,TEHSIL,DERA ISMAIL KHAN,OVERALL,1733,320937,168217,152719,1,110.15,185.19,13.09,6.5,305594,.82
PAROA,TEHSIL,DERA ISMAIL KHAN,RURAL,,278932,146291,132641,,110.29,,,6.6,265713,.8100000000000001
PAROA,TEHSIL,DERA ISMAIL KHAN,URBAN,,42005,21926,20078,1,109.2,,,6.4,39881,.87
HANGU,DISTRICT,HANGU,OVERALL,1097,528902,260293,268601,8,96.91,482.13,16.21,8.6,518811,.32
HANGU,DISTRICT,HANGU,RURAL,,443175,216894,226277,4,95.84999999999999,,,8.699999999999999,416309,1.05
HANGU,DISTRICT,HANGU,URBAN,,85727,43399,42324,4,102.54,,,7.9,102502,-2.94
HANGU,TEHSIL,HANGU,OVERALL,669,280883,138393,142488,2,97.13,419.86,15.54,8.4,270399,.64
HANGU,TEHSIL,HANGU,RURAL,,237241,116413,120827,1,96.34999999999999,,,8.5,221598,1.15
HANGU,TEHSIL,HANGU,URBAN,,43642,21980,21661,1,101.47,,,7.7,48801,-1.85
TALL,TEHSIL,HANGU,OVERALL,428,248019,121900,126113,6,96.66,579.48,16.97,8.9,248412,-.03
