name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
TUMP,SUB-DIVISION,KECH,OVERALL,1945,147041,79811,67225,5,118.72,75.59999999999999,33.51,3.7,146008,.12
TUMP,SUB-DIVISION,KECH,RURAL,,97772,52653,45116,3,116.71,,,4.2,97665,.02
TUMP,SUB-DIVISION,KECH,URBAN,,49269,27158,22109,2,122.84,,,3.1,48343,.32
TURBAT,SUB-DIVISION,KECH,OVERALL,9742,470605,241747,228830,28,105.64,48.31,57.08,4.6,416608,2.06
TURBAT,SUB-DIVISION,KECH,RURAL,,201980,99446,102529,5,96.98999999999999,,,4.7,202777,-.07
TURBAT,SUB-DIVISION,KECH,URBAN,,268625,142301,126301,23,112.67,,,4.6,213831,3.89
ZAMORAN,SUB-TEHSIL,KECH,OVERALL,1462,71616,39180,32425,11,120.83,48.98,,3.4,42411,9.15
ZAMORAN,SUB-TEHSIL,KECH,RURAL,,71616,39180,32425,11,120.83,,,3.4,42411,9.15
ZAMORAN,SUB-TEHSIL,KECH,URBAN,,,,,,,,,,,
KHARAN,DISTRICT,KHARAN,OVERALL,14958,260352,139695,120646,11,115.79,17.41,31.04,7.2,162766,8.17
KHARAN,DISTRICT,KHARAN,RURAL,,179546,95343,84198,5,113.24,,,7.2,111378,8.31
KHARAN,DISTRICT,KHARAN,URBAN,,80806,44352,36448,6,121.69,,,7.3,51388,7.86
KHARAN,SUB-DIVISION,KHARAN,OVERALL,2941,104035,56659,47370,6,119.61,35.37,77.67,7.4,66438,7.78
KHARAN,SUB-DIVISION,KHARAN,RURAL,,23229,12307,10922,,112.68,,,7.7,15050,7.52
KHARAN,SUB-DIVISION,KHARAN,URBAN,,80806,44352,36448,6,121.69,,,7.3,51388,7.86
PATKAIN,SUB-TEHSIL,KHARAN,OVERALL,2131,20499,10343,10156,,101.84,9.619999999999999,,5.7,16493,3.7
PATKAIN,SUB-TEHSIL,KHARAN,RURAL,,20499,10343,10156,,101.84,,,5.7,16493,3.7
PATKAIN,SUB-TEHSIL,KHARAN,URBAN,,,,,,,,,,,
SAR KHARAN,SUB-DIVISION,KHARAN,OVERALL,3539,86015,45919,40091,5,114.54,24.3,,7.5,49393,9.710000000000001
SAR KHARAN,SUB-DIVISION,KHARAN,RURAL,,86015,45919,40091,5,114.54,,,7.5,49393,9.710000000000001
SAR KHARAN,SUB-DIVISION,KHARAN,URBAN,,,,,,,,,,,
TOHMULK,SUB-TEHSIL,KHARAN,OVERALL,6347,49803,26774,23029,,116.26,7.85,,7.3,30442,8.57
TOHMULK,SUB-TEHSIL,KHARAN,RURAL,,49803,26774,23029,,116.26,,,7.3,30442,8.57
TOHMULK,SUB-TEHSIL,KHARAN,URBAN,,,,,,,,,,,
KHUZDAR,DISTRICT,KHUZDAR,OVERALL,35380,997214,537313,459867,34,116.84,28.19,36.54,6.1,798896,3.78
KHUZDAR,DISTRICT,KHUZDAR,RURAL,,632836,341182,291627,27,116.99,,,5.6,523134,3.23
KHUZDAR,DISTRICT,KHUZDAR,URBAN,,364378,196131,168240,7,116.58,,,7.3,275762,4.77
ARANJI,SUB-TEHSIL,KHUZDAR,OVERALL,7456,50533,28055,22475,3,124.83,6.78,,5,42318,3.01
ARANJI,SUB-TEHSIL,KHUZDAR,RURAL,,50533,28055,22475,3,124.83,,,5,42318,3.01
ARANJI,SUB-TEHSIL,KHUZDAR,URBAN,,,,,,,,,,,
GRESHA,SUB-TEHSIL,KHUZDAR,OVERALL,2622,69665,38355,31300,10,122.54,26.57,,7,45648,7.32
GRESHA,SUB-TEHSIL,KHUZDAR,RURAL,,69665,38355,31300,10,122.54,,,7,45648,7.32
GRESHA,SUB-TEHSIL,KHUZDAR,URBAN,,,,,,,,,,,
