name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
BATAGRAM,DISTRICT,BATAGRAM,RURAL,"5,000 AND ABOVE",41,330029,167181,162840,8,Rural Localities
BATAGRAM,DISTRICT,BATAGRAM,RURAL,"2,000 -- 4,999",58,217471,110806,106663,2,Rural Localities
BATAGRAM,DISTRICT,BATAGRAM,RURAL,"1,000 -- 1,999",4,5720,2872,2848,,Rural Localities
BATAGRAM,DISTRICT,BATAGRAM,RURAL,500 -- 999,1,913,439,474,,Rural Localities
BATAGRAM,DISTRICT,BATAGRAM,RURAL,200 -- 499,,,,,,Rural Localities
BATAGRAM,DISTRICT,BATAGRAM,RURAL,LESS THAN 200,,,,,,Rural Localities
BATAGRAM,DISTRICT,BATAGRAM,RURAL,UN-INHABITED,,,,,,Rural Localities
ALLAI,TEHSIL,BATAGRAM,RURAL,OVERALL,44,218149,112255,105889,5,Rural Localities
ALLAI,TEHSIL,BATAGRAM,RURAL,"5,000 AND ABOVE",19,128533,65797,62731,5,Rural Localities
ALLAI,TEHSIL,BATAGRAM,RURAL,"2,000 -- 4,999",23,86730,44970,41760,,Rural Localities
ALLAI,TEHSIL,BATAGRAM,RURAL,"1,000 -- 1,999",2,2886,1488,1398,,Rural Localities
ALLAI,TEHSIL,BATAGRAM,RURAL,500 -- 999,,,,,,Rural Localities
ALLAI,TEHSIL,BATAGRAM,RURAL,200 -- 499,,,,,,Rural Localities
ALLAI,TEHSIL,BATAGRAM,RURAL,LESS THAN 200,,,,,,Rural Localities
ALLAI,TEHSIL,BATAGRAM,RURAL,UN-INHABITED,,,,,,Rural Localities
BATAGRAM,TEHSIL,BATAGRAM,RURAL,OVERALL,60,335984,169043,166936,5,Rural Localities
BATAGRAM,TEHSIL,BATAGRAM,RURAL,"5,000 AND ABOVE",22,201496,101384,100109,3,Rural Localities
BATAGRAM,TEHSIL,BATAGRAM,RURAL,"2,000 -- 4,999",35,130741,65836,64903,2,Rural Localities
BATAGRAM,TEHSIL,BATAGRAM,RURAL,"1,000 -- 1,999",2,2834,1384,1450,,Rural Localities
BATAGRAM,TEHSIL,BATAGRAM,RURAL,500 -- 999,1,913,439,474,,Rural Localities
BATAGRAM,TEHSIL,BATAGRAM,RURAL,200 -- 499,,,,,,Rural Localities
