name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
TANGWANI,TEHSIL,KASHMORE,RURAL,,306699,157205,149491,3,105.16,,,5.7,262749,2.62
TANGWANI,TEHSIL,KASHMORE,URBAN,,32065,16179,15879,7,101.89,,,7.2,26510,3.23
KEAMARI,DISTRICT,KEAMARI,OVERALL,559,2068451,1100626,967613,212,113.75,3700.27,100,6.4,1829837,2.07
KEAMARI,DISTRICT,KEAMARI,RURAL,,,,,,0,,,,121954,-100
KEAMARI,DISTRICT,KEAMARI,URBAN,,2068451,1100626,967613,212,113.75,,,6.4,1707883,3.25
BALDIA,SUB-DIVISION,KEAMARI,OVERALL,34,948597,498168,450326,103,110.62,27899.91,100,6.4,832583,2.2
BALDIA,SUB-DIVISION,KEAMARI,RURAL,,,,,,,,,,,
BALDIA,SUB-DIVISION,KEAMARI,URBAN,,948597,498168,450326,103,110.62,,,6.4,832583,2.2
KEAMARI,SUB-DIVISION,KEAMARI,OVERALL,50,451801,243063,208688,50,116.47,9036.02,100,6.5,401115,2.01
KEAMARI,SUB-DIVISION,KEAMARI,RURAL,,,,,,,,,,,
KEAMARI,SUB-DIVISION,KEAMARI,URBAN,,451801,243063,208688,50,116.47,,,6.5,401115,2.01
MAURIPUR,SUB-DIVISION,KEAMARI,OVERALL,450,218933,115614,103296,23,111.92,486.52,100,5.8,192565,2.17
MAURIPUR,SUB-DIVISION,KEAMARI,RURAL,,,,,,,,,,121954,-100
MAURIPUR,SUB-DIVISION,KEAMARI,URBAN,,218933,115614,103296,23,111.92,,,5.8,70611,20.82
SITE,SUB-DIVISION,KEAMARI,OVERALL,25,449120,243781,205303,36,118.74,17964.8,100,6.9,403574,1.8
SITE,SUB-DIVISION,KEAMARI,RURAL,,,,,,,,,,,
SITE,SUB-DIVISION,KEAMARI,URBAN,,449120,243781,205303,36,118.74,,,6.9,403574,1.8
KHAIRPUR,DISTRICT,KHAIRPUR,OVERALL,15910,2597535,1315925,1281472,138,102.69,163.26,32.5,5.7,2405190,1.29
KHAIRPUR,DISTRICT,KHAIRPUR,RURAL,,1753272,889075,864154,43,102.88,,,5.7,1628184,1.24
KHAIRPUR,DISTRICT,KHAIRPUR,URBAN,,844263,426850,417318,95,102.28,,,5.7,777006,1.4
FAIZ GANJ,TEHSIL,KHAIRPUR,OVERALL,946,243254,122426,120821,7,101.33,257.14,20.03,5.1,224088,1.38
FAIZ GANJ,TEHSIL,KHAIRPUR,RURAL,,194539,97913,96621,5,101.34,,,5.1,180739,1.24
FAIZ GANJ,TEHSIL,KHAIRPUR,URBAN,,48715,24513,24200,2,101.29,,,5.1,43349,1.97
GAMBAT,TEHSIL,KHAIRPUR,OVERALL,582,286129,144616,141483,30,102.21,491.63,36.47,6,263218,1.4
GAMBAT,TEHSIL,KHAIRPUR,RURAL,,181776,92186,89587,3,102.9,,,6,169334,1.19
GAMBAT,TEHSIL,KHAIRPUR,URBAN,,104353,52430,51896,27,101.03,,,6,93884,1.78
