name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
HOSHAB,KECH,SUB-TEHSIL,RURAL,16755,10473,3840,12915,4944,3273,6893,,18,1627
HOSHAB,KECH,SUB-TEHSIL,URBAN,,,,,,,,,,
MAND,KECH,TEHSIL,OVERALL,16348,14044,11397,4951,5877,6034,4174,,89,174
MAND,KECH,TEHSIL,RURAL,16348,14044,11397,4951,5877,6034,4174,,89,174
MAND,KECH,TEHSIL,URBAN,,,,,,,,,,
TUMP,KECH,SUB-DIVISION,OVERALL,38839,28002,22110,16729,3685,11323,17771,3,85,5972
TUMP,KECH,SUB-DIVISION,RURAL,23040,14079,11205,11835,671,4055,13272,2,69,4971
TUMP,KECH,SUB-DIVISION,URBAN,15799,13923,10905,4894,3014,7268,4499,1,16,1001
TURBAT,KECH,SUB-DIVISION,OVERALL,100774,86165,78375,22399,41287,18659,33418,83,254,7073
TURBAT,KECH,SUB-DIVISION,RURAL,42826,33931,28104,14722,7908,11989,18312,1,75,4541
TURBAT,KECH,SUB-DIVISION,URBAN,57948,52234,50271,7677,33379,6670,15106,82,179,2532
ZAMORAN,KECH,SUB-TEHSIL,OVERALL,20961,3035,1894,19067,1494,1240,695,,30,17502
ZAMORAN,KECH,SUB-TEHSIL,RURAL,20961,3035,1894,19067,1494,1240,695,,30,17502
ZAMORAN,KECH,SUB-TEHSIL,URBAN,,,,,,,,,,
KHARAN,KHARAN,DISTRICT,OVERALL,35843,29311,15195,20648,18974,7228,4118,5,47,5471
KHARAN,KHARAN,DISTRICT,RURAL,24823,18705,5604,19219,9298,6763,4007,3,43,4709
KHARAN,KHARAN,DISTRICT,URBAN,11020,10606,9591,1429,9676,465,111,2,4,762
KHARAN,KHARAN,SUB-DIVISION,OVERALL,14023,13373,10598,3425,10935,1256,730,2,21,1079
KHARAN,KHARAN,SUB-DIVISION,RURAL,3003,2767,1007,1996,1259,791,619,,17,317
