name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
CHAMAN,DISTRICT,CHAMAN,RURAL,"2,000 -- 4,999",10,32029,18608,13419,2,Rural Localities
CHAMAN,DISTRICT,CHAMAN,RURAL,"1,000 -- 1,999",7,10319,5931,4388,,Rural Localities
CHAMAN,DISTRICT,CHAMAN,RURAL,500 -- 999,5,3504,1942,1562,,Rural Localities
CHAMAN,DISTRICT,CHAMAN,RURAL,200 -- 499,,,,,,Rural Localities
CHAMAN,DISTRICT,CHAMAN,RURAL,LESS THAN 200,1,1,1,,,Rural Localities
CHAMAN,DISTRICT,CHAMAN,RURAL,UN-INHABITED,,,,,,Rural Localities
CHAMAN SADDAR,SUB-DIVISION,CHAMAN,RURAL,OVERALL,38,336079,189666,146401,12,Rural Localities
CHAMAN SADDAR,SUB-DIVISION,CHAMAN,RURAL,"5,000 AND ABOVE",15,290226,163184,127032,10,Rural Localities
CHAMAN SADDAR,SUB-DIVISION,CHAMAN,RURAL,"2,000 -- 4,999",10,32029,18608,13419,2,Rural Localities
CHAMAN SADDAR,SUB-DIVISION,CHAMAN,RURAL,"1,000 -- 1,999",7,10319,5931,4388,,Rural Localities
CHAMAN SADDAR,SUB-DIVISION,CHAMAN,RURAL,500 -- 999,5,3504,1942,1562,,Rural Localities
CHAMAN SADDAR,SUB-DIVISION,CHAMAN,RURAL,200 -- 499,,,,,,Rural Localities
CHAMAN SADDAR,SUB-DIVISION,CHAMAN,RURAL,LESS THAN 200,1,1,1,,,Rural Localities
CHAMAN SADDAR,SUB-DIVISION,CHAMAN,RURAL,UN-INHABITED,,,,,,Rural Localities
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,OVERALL,213,246827,137658,109166,3,Rural Localities
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,"5,000 AND ABOVE",8,55145,30440,24705,,Rural Localities
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,"2,000 -- 4,999",22,67547,38425,29121,1,Rural Localities
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,"1,000 -- 1,999",46,67104,38028,29074,2,Rural Localities
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,500 -- 999,51,36412,19592,16820,,Rural Localities
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,200 -- 499,53,16829,9066,7763,,Rural Localities
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,LESS THAN 200,32,3790,2107,1683,,Rural Localities
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,UN-INHABITED,1,,,,,Rural Localities
BAIKER,SUB-TEHSIL,DERA BUGTI,RURAL,OVERALL,12,33410,18736,14674,,Rural Localities
BAIKER,SUB-TEHSIL,DERA BUGTI,RURAL,"5,000 AND ABOVE",2,11120,6160,4960,,Rural Localities
BAIKER,SUB-TEHSIL,DERA BUGTI,RURAL,"2,000 -- 4,999",4,11228,6207,5021,,Rural Localities
BAIKER,SUB-TEHSIL,DERA BUGTI,RURAL,"1,000 -- 1,999",6,11062,6369,4693,,Rural Localities
BAIKER,SUB-TEHSIL,DERA BUGTI,RURAL,500 -- 999,,,,,,Rural Localities
BAIKER,SUB-TEHSIL,DERA BUGTI,RURAL,200 -- 499,,,,,,Rural Localities
BAIKER,SUB-TEHSIL,DERA BUGTI,RURAL,LESS THAN 200,,,,,,Rural Localities
BAIKER,SUB-TEHSIL,DERA BUGTI,RURAL,UN-INHABITED,,,,,,Rural Localities
DERA BUGTI,SUB-DIVISION,DERA BUGTI,RURAL,OVERALL,46,22063,11772,10291,,Rural Localities
DERA BUGTI,SUB-DIVISION,DERA BUGTI,RURAL,"5,000 AND ABOVE",,,,,,Rural Localities
DERA BUGTI,SUB-DIVISION,DERA BUGTI,RURAL,"2,000 -- 4,999",1,4363,2506,1857,,Rural Localities
DERA BUGTI,SUB-DIVISION,DERA BUGTI,RURAL,"1,000 -- 1,999",4,5421,2799,2622,,Rural Localities
DERA BUGTI,SUB-DIVISION,DERA BUGTI,RURAL,500 -- 999,10,6403,3333,3070,,Rural Localities
DERA BUGTI,SUB-DIVISION,DERA BUGTI,RURAL,200 -- 499,14,4334,2299,2035,,Rural Localities
DERA BUGTI,SUB-DIVISION,DERA BUGTI,RURAL,LESS THAN 200,16,1542,835,707,,Rural Localities
DERA BUGTI,SUB-DIVISION,DERA BUGTI,RURAL,UN-INHABITED,1,,,,,Rural Localities
LOTI,SUB-TEHSIL,DERA BUGTI,RURAL,OVERALL,22,21711,13350,8361,,Rural Localities
LOTI,SUB-TEHSIL,DERA BUGTI,RURAL,"5,000 AND ABOVE",,,,,,Rural Localities
LOTI,SUB-TEHSIL,DERA BUGTI,RURAL,"2,000 -- 4,999",1,3626,2239,1387,,Rural Localities
LOTI,SUB-TEHSIL,DERA BUGTI,RURAL,"1,000 -- 1,999",7,9963,6632,3331,,Rural Localities
LOTI,SUB-TEHSIL,DERA BUGTI,RURAL,500 -- 999,8,6033,3343,2690,,Rural Localities
LOTI,SUB-TEHSIL,DERA BUGTI,RURAL,200 -- 499,6,2089,1136,953,,Rural Localities
LOTI,SUB-TEHSIL,DERA BUGTI,RURAL,LESS THAN 200,,,,,,Rural Localities
LOTI,SUB-TEHSIL,DERA BUGTI,RURAL,UN-INHABITED,,,,,,Rural Localities
MALAM,SUB-TEHSIL,DERA BUGTI,RURAL,OVERALL,17,33340,18690,14650,,Rural Localities
MALAM,SUB-TEHSIL,DERA BUGTI,RURAL,"5,000 AND ABOVE",1,5346,2747,2599,,Rural Localities
